crypto-common	0.1.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7.crate	9619	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	registry/src/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7	10	28572:54049414275bba79403dd09e8b21a69bcc189ffd2819bb9c83bd678f8e3c4f09
crypto-mac	0.8.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/crypto-mac-0.8.0.crate	9115	b584a330336237c1eecd3e94266efb216c56ed91225d634cb2991c5f3fd1aeab	registry/src/index.crates.io-1949cf8c6b5b557f/crypto-mac-0.8.0	11	24462:930f3b325081cb27fdfdc6d719516ebd599a3b4a4169b8a15451890e4c71f073
curve25519-dalek	3.2.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-3.2.0.crate	517530	0b9fdf9972b2bd6af2d913799d9ebc165ea4d2e65878e329d9c6b372c4491b61	registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-3.2.0	66	1518102:bad739bbf2823cd6c953331f1047fc71869d942cdfb5002452230acc81769283
curve25519-dalek	4.1.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-4.1.3.crate	306017	97fb8b7c4503de7d6ae7b42ab72a5a59857b4c937ec27a3d4539dba95b5ab2be	registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-4.1.3	64	1289398:72f94af930b84647e2e9037704a0cbd815ab31c5add96b37b65edf7d61a15ec6
curve25519-dalek-derive	0.1.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-derive-0.1.1.crate	11723	f46882e17999c6cc590af592290432be3bce0428cb0d5f8b6715e4dc7b383eb3	registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-derive-0.1.1	10	41386:6df11a3d1243b0f3b10dc116b4e61ab476498e8716c56f5d04495228dc485f79
darling	0.23.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/darling-0.23.0.crate	43298	25ae13da2f202d56bd7f91c25fba009e7717a1e4a1cc98a76d844b65ae912e9d	registry/src/index.crates.io-1949cf8c6b5b557f/darling-0.23.0	86	165960:f84585b1a231abb08e472f8cff8be11e1ad6302578361be4b5fd995d40650d44
darling_core	0.23.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/darling_core-0.23.0.crate	74564	9865a50f7c335f53564bb694ef660825eb8610e0a53d3e11bf1b0d3df31e03b0	registry/src/index.crates.io-1949cf8c6b5b557f/darling_core-0.23.0	78	341174:a05d41d12f6691e29a2bf3c24998f7364eb1a5774650cf7d5a71d14b51de2557
darling_macro	0.23.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/darling_macro-0.23.0.crate	2480	ac3984ec7bd6cfa798e62b4a642426a5be0e68f9401cfc2a01e3fa9ea2fcdb8d	registry/src/index.crates.io-1949cf8c6b5b557f/darling_macro-0.23.0	7	5884:9ef143821f45f92f14f6344d3a8086dc249f65d9734b14c2c4fe211b3f9269cb
derivation-path	0.2.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/derivation-path-0.2.0.crate	5214	6e5c37193a1db1d8ed868c03ec7b152175f26160a5b740e5e484143877e0adf0	registry/src/index.crates.io-1949cf8c6b5b557f/derivation-path-0.2.0	9	28206:5e435da4c31f1188b23b451aa64bf2df6a8a238fc53e8ac1f1654aef494e9034
derivative	2.2.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/derivative-2.2.0.crate	48076	fcc3dd5e9e9c0b295d6e1e4d811fb6f157d5ffd784b8d202fc62eac8035a770b	registry/src/index.crates.io-1949cf8c6b5b557f/derivative-2.2.0	127	259866:6751d935efac148d28cc988b03d6a98277e2741dfe0c1b8770b7564752403161
digest	0.10.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/digest-0.10.7.crate	19557	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.10.7	22	87402:28e0b19817715e438c92ef12555786fa85e47236e347de560d87b6801fb5d33d
digest	0.9.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/digest-0.9.0.crate	13247	d3dd60d1080a57a05ab032377049e0591415d2b31afd7028356dbf3cc6dcb066	registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.9.0	16	45163:0db53e3d4ae78ee4227f21679194278d2226ffde2a5d40d50adfcdec84b11b6a
displaydoc	0.2.6	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/displaydoc-0.2.6.crate	21191	1ac70aa55017e108007fbaf5aa0f54b021c98f92ff8af59d42eda9da96e3dd4f	registry/src/index.crates.io-1949cf8c6b5b557f/displaydoc-0.2.6	26	74391:4b84d27ab819b9cdf9fa3817eab352b80840f7456e276967b007b696c8573dd7
ed25519	1.5.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/ed25519-1.5.3.crate	17118	91cff35c70bba8a626e3185d8cd48cc11b5437e1a5bcd15b9b5fa3c64b6dfee7	registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-1.5.3	20	60601:cb91485c123bf90c39898d2ab59c46d6c01d79d7ecd1c14908e9ae974c4c052c
ed25519-dalek	1.0.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-1.0.1.crate	29460	c762bae6dcaf24c4c84667b8579785430908723d5c889f469d76a41d59cc7a9d	registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-1.0.1	17	122400:fd78b91b8662b72f2040cba1c4fc1c15bbaf3a03e35273f4241fe693bde551f5
ed25519-dalek-bip32	0.2.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-bip32-0.2.0.crate	5581	9d2be62a4061b872c8c0873ee4fc6f101ce7b889d039f019c5fa2af471a59908	registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-bip32-0.2.0	9	22567:99cb28358bce4e383955a4647044e427b45e4f1d4cecb795e0708ec1e33f7ac1
