Feature                                      | Status                  | Activation Slot | Description
CCu4boMmfLuqcmfTLPHQiUo22ZdUsXjgzPAURYaWt1Bw | active since epoch 0    | 0               | Requestable heap frame size
CE2et8pqgyQMP2mQRg3CgvX8nJBKUArMu3wfiQiQKY1y | active since epoch 0    | 0               | round up heap size when calculating heap cost #30679
CFK1hRCNy8JJuAAY8Pb2GjLFNdCThS2qwZNe3izzBMgn | active since epoch 0    | 0               | add add_get_processed_sibling_instruction_syscall
CGB2jM8pwZkeeiXQ66kBMyBR6Np61mggL7XUsmLjVcrw | active since epoch 0    | 0               | SIMD-0183: Skip rent rewrites
CHaChatUnR3s6cPyPMMGNJa3VdQQ8PNH2JqdD4LpCKnB | active since epoch 0    | 0               | SIMD-0332: Reduce ChaCha rounds for Turbine from 20 to 8
CJzY83ggJHqPGDq8VisV3U91jDJLuEaALZooBrXtnnLU | active since epoch 0    | 0               | SIMD-0084: Disable rent fees collection
CLCoTADvV64PSrnR6QXty6Fwrt9Xc6EdxSJE4wLRePjq | active since epoch 0    | 0               | SIMD-0127: Enable syscall for fetching Sysvar bytes
CR3dVN2Yoo95Y96kLSTaziWDAQT2MNEpiWh5cqVq2pNE | active since epoch 0    | 0               | enable account data direct mapping
Cdkc8PPTeTNUPoZEfCY5AyetUrEdkZtNPMgz58nqyaHD | active since epoch 0    | 0               | switch to new ELF parser #30497
CpkdQmspsaZZ8FVAouQTtTWZkc8eeQ7V3uj7dWz543rZ | active since epoch 0    | 0               | on bank load account, do not try to fix up rent_epoch #28541
CveezY6FDLVBToHDcvJRmtMouqzsmj4UXYh5ths5G5Uv | active since epoch 0    | 0               | Calculate vote credits for VoteStateUpdate per vote dequeue to match credit awards for Vote instruction
D2aip4BBr8NPWtU9vLrwrBvbuaQ8w1zV38zFLxx4pfBV | active since epoch 0    | 0               | Require stake split destination account to be rent exempt
D31EFnLgdiysi84Woo3of4JMu7VmasUS3Z7j9HYXCeLY | active since epoch 0    | 0               | enable turbine fanout experiments #29393
D4jsDcXaqdW8tDAWn8H4R25Cdns2YwLneujSL1zvjW6R | active since epoch 0    | 0               | require custodian to authorize withdrawer change for locked stake
DT4n6ABDqs6w4bnfwrXT9rsprcPf6cdDga1egctaPkLC | active since epoch 0    | 0               | full inflation on devnet and testnet
DTVTkmw3JSofd8CJVJte8PXEbxNQ2yZijvVr3pe2APPj | active since epoch 0    | 0               | on accounts hash calculation, do not try to rehash accounts #28934
DdLwVYuvDz26JohmgSbA7mjpJFgX5zP2dkp8qsF2C33V | active since epoch 0    | 0               | cap transaction accounts data size up to a limit #27839
DeS7sR48ZcFTUmt5FFEVDr1v1bh73aAbZiZq3SYr8Eh8 | active since epoch 0    | 0               | SIMD-0186: Loaded transaction data size specification
DhsYfRjxfnh2g7HKJYSzT79r74Afa1wbHkAgHndrA1oy | active since epoch 0    | 0               | upgrade libsecp256k1 to v0.5.0
DpJREPyuMZ5nDfU6H3WTqSqUFSXAfw8u7xqmWtEwJDcP | active since epoch 0    | 0               | quick bail on panic
Ds87KVeqhbv7Jw8W6avsS1mqz3Mw5J3pRTpPoDQ2QdiJ | active since epoch 0    | 0               | add shred-type to shred seed #25556
DwScAzPUjuv65TMbDnFY7AgwmotzWy3xpEJMXM3hZFaB | active since epoch 0    | 0               | enable sol_{set,get}_return_data syscall
E3PHP7w8kB7np3CTQ1qQ2tW3KCtjRSXBQgW9vM2mWv2Y | active since epoch 0    | 0               | secp256k1 program
E5JiFDQCwyC6QfT9REFyMpfK2mHcmv1GUDySU1Ue7TYv | active since epoch 0    | 0               | spl-token multisig fix
E8MkiWZNNPGU6n55jkGzyj8ghUmjCHRmDFdYYFYHxWhQ | active since epoch 0    | 0               | leave nonce as is on success
EBeznQDjcPG8491sFsKZYBi5S5jTVXMpAKNDJMQPS2kq | active since epoch 0    | 0               | reduce required payer balance for program deploys
EBq48m8irRKuE7ZnMTLvLg2UuGSqhe8s8oMqnmja1fJw | active since epoch 0    | 0               | add big_mod_exp syscall #28503
EDGMC5kxFxGk4ixsNkGt8bW7QL5hDMXnbwaZvYMwNfzF | active since epoch 0    | 0               | SIMD-0459: Syscall Parameter Address Restrictions
EJJewYSddEEtSZHiqugnvhQHiWyZKjkFDQASd7oKSagn | active since epoch 0    | 0               | add alt_bn128 compression syscalls
EMX9Q7TVFAmQ9V1CggAkhMzhXSg8ECp7fHrWQX2G1chf | active since epoch 0    | 0               | evict invalid stakes cache entries on epoch boundaries
EQUMpNFr7Nacb1sva56xn1aLfBxppEoSBH8RRVdkcD1x | active since epoch 0    | 0               | Disable account loader special case #3513
EVW9B5xD9FFK7vw1SBARwMA4s5eRo5eKJdKpsBikzKBz | active since epoch 0    | 0               | prohibit extra transaction signatures
EWme9uFqfy1ikK1jhJs8fM5hxWnK336QJpbscNtizkTU | active since epoch 0    | 0               | Update desired hashes per tick to 2.8M
EYVpEP7uzH1CoXzbD6PubGhYmnxRXPeq3PPsm1ba3gpo | active since epoch 0    | 0               | stop the search in get_processed_sibling_instruction when the parent instruction is reached #27289
EaQpmC6GtRssaZ3PCUM5YksGqUdMLeZ46BQXYtHYakDS | active since epoch 0    | 0               | include transaction loaded accounts data size in base fee calculation #30657
EfhYd3SafzGT472tYQDUc4dPd2xdEfKs5fwkowUgVt4W | active since epoch 0    | 0               | remove support for RequestUnitsDeprecated instruction #27500
Eg7tXEwMZzS98xaZ1YHUbdRHsaYZiCsSaR6sKgxreoaj | active since epoch 0    | 0               | SIMD-0291: Commission Rate in Basis Points
ExtendProgCheckedWi11BeDe1eted11111111111111 | active since epoch 0    | 0               | Enable ExtendProgramChecked instruction
F6UVKh1ujTEFK3en2SyAL3cdVnqko1FVEXWhmdLRu6WP | active since epoch 0    | 0               | SIMD-0173 and SIMD-0174: Enable deployment and execution of SBPFv2 programs
FKAcEvNgSY79RpqsPNUV5gDyumopH4cEHqUxyfm8b8Ap | active since epoch 0    | 0               | relax authority signer check for lookup table creation #27205
FKe75t4LXxGaQnVHdUKM6DSFifVVraGZ8LyNo7oPwy1Z | active since epoch 0    | 0               | SIMD-0133: Enable syscall: sol_get_epoch_stake
FKu1qYwLQSiehz644H6Si65U5ZQ2cp9GxsyFUfYcuADv | active since epoch 0    | 0               | Update desired hashes per tick to 10M
FL9RsQA6TVUoh5xJQ9d936RHSebA1NLQqe3Zv9sXZRpr | active since epoch 0    | 0               | Enable Poseidon syscall
FLHoAWBDjNh6zwmJ5i1NKK4KyD8otAiv7XxvmnFnVnKH | active since epoch 0    | 0               | SIMD-0326: Alpenglow fast leader handover
FNKCMBzYUdjhHyPdsKG2LSmdzH8TCHXn3ytj8RNBS4nG | active since epoch 0    | 0               | enable gossip duplicate proof ingestion #32963
FQnc7U4koHqWgRvFaBJjZnV8VPg6L6wWK33yJeDp4yvV | active since epoch 0    | 0               | stake split instruction uses rent sysvar
FToKNBYyiF4ky9s8WsmLBXHCht17Ek7RXaLZGHzzQhJ1 | active since epoch 0    | 0               | spl-token set_authority fix
FXs1zh47QbNnhXcnB6YiAQoJ4sGB91tKF3UFHLcKT7PM | active since epoch 0    | 0               | SIMD-0162: Remove checks of accounts is_executable flag
FaTa17gVKoqbh38HcfiQonPsAaQViyDCCSg71AubYZw8 | active since epoch 0    | 0               | SPL Associated Token Account Program version 1.1.0 release #24741
FaTa4SpiaSNH44PGC4z8bnGVTkSRYaWvrBs3KTu8XQQq | active since epoch 0    | 0               | SPL Associated Token Account Program release version 1.0.4, tied to token 3.3.0 #22648
Fab5oP3DmsLYCiQZXdjyqT3ukFFPrsmqhXU4WU1AWVVF | active since epoch 0    | 0               | prevent recipients of rent rewards from ending in rent-paying state #30151
Ff8b1fBeB86q8cjq47ZhsQLgv5EkHu3G1C99zjUfAzrq | active since epoch 0    | 0               | enable direct vote state update
Ffswd3egL3tccB6Rv3XY6oqfdzn913vUcjCSnpvCKpfx | active since epoch 0    | 0               | better error codes for tx lamport check #33353
Ftok2jhqAqxUWEiCVRrfRs9DPppWP8cgTB7NQNKL88mS | active since epoch 0    | 0               | spl-token v3.3.0 release
Ftok4njE8b7tDffYkC5bAbCaQv5sL6jispYrprzatUwN | active since epoch 0    | 0               | SPL Token Program version 3.4.0 release #24740
Ftxb3ZKq7aNqgxDBbP7EonvR2RszZk9ctjdsTX38kQaz | active since epoch 0    | 0               | SIMD-0437-3: Set lamports per byte to 2575
